feature,importance
yearsExperience,0.11886190518182106
milesFromMetropolis,0.1180533452966062
industry_HEALTH,0.06388317406229939
major_NONE,0.046171747223976434
jobType_JANITOR,0.037476323774024954
major_BUSINESS,0.03708218716620765
industry_FINANCE,0.03345657751999592
industry_WEB,0.032589478068503236
industry_EDUCATION,0.03075093185196753
industry_OIL,0.02749710050610171
jobType_CEO,0.027176509666133417
jobType_CFO,0.025490562648523122
jobType_CTO,0.025331157420155792
jobType_VICE_PRESIDENT,0.023475755178598
degree_NONE,0.0224505477115444
jobType_JUNIOR,0.022269548661038335
degree_BACHELORS,0.02175472090300764
major_ENGINEERING,0.021378646540491777
major_PHYSICS,0.021199342144097074
degree_DOCTORAL,0.02106184126016936
industry_SERVICE,0.019572364347151257
jobType_SENIOR,0.0184655257754373
major_LITERATURE,0.018260529677096425
major_BIOLOGY,0.017895180994481827
major_MATH,0.01715011428012684
degree_MASTERS,0.01555874134600977
industry_AUTO,0.013951518103061571
jobType_MANAGER,0.013923669398412653
major_CHEMISTRY,0.012480643397745952
degree_HIGH_SCHOOL,0.012304509136733234
major_COMPSCI,0.008264053078761243
companyId_COMP62,0.0023290055518901545
companyId_COMP30,0.0022086419772587343
companyId_COMP9,0.0016800196969729755
companyId_COMP12,0.001623834081833756
companyId_COMP36,0.0015787802517693184
companyId_COMP26,0.0015010091601187325
companyId_COMP24,0.0014954759771126714
companyId_COMP31,0.0014931098991707741
companyId_COMP8,0.0014523836439391308
companyId_COMP27,0.0013159504372460009
companyId_COMP4,0.0013106540101573217
companyId_COMP13,0.0012930621626795447
companyId_COMP16,0.0012341339404954412
companyId_COMP61,0.0011997407687170472
companyId_COMP28,0.0011566663646035461
companyId_COMP15,0.0011417104950125333
companyId_COMP20,0.0010889533537494778
companyId_COMP48,0.0010652683520411927
companyId_COMP53,0.001043657064659345
companyId_COMP38,0.0010374367991665646
companyId_COMP56,0.0009928263648291346
companyId_COMP18,0.0009853377708555775
companyId_COMP49,0.000982170679417223
companyId_COMP37,0.0009813417434082123
companyId_COMP3,0.0009706073797232865
companyId_COMP39,0.0009663605026887853
companyId_COMP57,0.0009378260735264707
companyId_COMP14,0.0009188910888408233
companyId_COMP44,0.0009002239954627913
companyId_COMP59,0.0008926586942448626
companyId_COMP17,0.0008684556768878143
companyId_COMP32,0.0008429114637928143
companyId_COMP55,0.0008287184071097126
companyId_COMP50,0.0008211133183605572
companyId_COMP21,0.0008090971535902722
companyId_COMP47,0.0007862482509791119
companyId_COMP42,0.0007225965078453821
companyId_COMP40,0.0006962779405810148
companyId_COMP2,0.0006807381534082986
companyId_COMP41,0.0006762088016127518
companyId_COMP34,0.000666767140522781
companyId_COMP46,0.0006494665118730431
companyId_COMP54,0.0006256920310058592
companyId_COMP52,0.0006212443944793346
companyId_COMP60,0.0005780549443682329
companyId_COMP51,0.0005429036367738027
companyId_COMP10,0.0005229587648802997
companyId_COMP22,0.0005130376660090051
companyId_COMP45,0.00048551637383437455
companyId_COMP23,0.00048027929831035197
companyId_COMP7,0.00046638542133044204
companyId_COMP19,0.000466220689231257
companyId_COMP1,0.00043115304157218405
companyId_COMP58,0.0003806259811018137
companyId_COMP6,0.000374230142145675
companyId_COMP0,0.00032392066098196133
companyId_COMP35,0.00024406049916704038
companyId_COMP43,0.00022601690380620764
companyId_COMP33,0.00022036189021841895
companyId_COMP29,0.0001495843852248739
companyId_COMP11,0.00012893861099836143
companyId_COMP25,8.884828337512813e-05
companyId_COMP5,6.53764527491571e-05
